Min,Max,SSS Deduction
"3,250","3,750",157.5
"3,750","4,250",180.0
"4,250","4,750",202.5
"4,750","5,250",225.0
"5,250","5,750",247.5
"5,750","6,250",270.0
"6,250","6,750",292.5
"6,750","7,250",315.0
"7,250","7,750",337.5
"7,750","8,250",360.0
"8,250","8,750",382.5
"8,750","9,250",405.0
"9,250","9,750",427.5
"9,750","10,250",450.0
"10,250","10,750",472.5
"10,750","11,250",495.0
"11,250","11,750",517.5
"11,750","12,250",540.0
"12,250","12,750",562.5
"12,750","13,250",585.0
"13,250","13,750",607.5
"13,750","14,250",630.0
"14,250","14,750",652.5
"14,750","15,250",675.0
"15,250","15,750",697.5
"15,750","16,250",720.0
"16,250","16,750",742.5
"16,750","17,250",765.0
"17,250","17,750",787.5
"17,750","18,250",810.0
"18,250","18,750",832.5
"18,750","19,250",855.0
"19,250","19,750",877.5
"19,750","20,250",900.0
"20,250","20,750",922.5
"20,750","21,250",945.0
"21,250","21,750",967.5
"21,750","22,250",990.0
"22,250","22,750",1012.5
"22,750","23,250",1035.0
"23,250","23,750",1057.5
"23,750","24,250",1080.0
"24,250","24,750",1102.5
"24,750","25,000",1125.0
